club_id,season,transfer_spending
289,2019,0.0
289,2020,338000.0
289,2021,240000.0
289,2022,4600000.0
290,2013,0.0
290,2014,0.0
290,2015,0.0
290,2016,0.0
290,2017,500000.0
290,2018,0.0
290,2020,0.0
290,2021,0.0
290,2022,500000.0
291,2014,0.0
291,2017,0.0
291,2018,0.0
291,2019,0.0
291,2020,0.0
291,2021,0.0
293,2014,0.0
293,2015,0.0
294,2013,33100000.0
294,2014,12950000.0
294,2015,31200000.0
294,2016,24760000.0
294,2017,2600000.0
294,2018,16100000.0
294,2019,64750000.0
294,2020,83500000.0
294,2021,24500000.0
294,2022,111550000.0
299,2020,0.0
301,2013,1250000.0
301,2014,0.0
301,2016,2200000.0
301,2017,0.0
301,2018,1200000.0
301,2019,0.0
301,2020,0.0
301,2022,0.0
306,2013,0.0
306,2014,2450000.0
